shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
116451,-122.4346,37.769268,10,484
116451,-122.448662,37.766431,11,1761
116451,-122.448834,37.766386,12,1777
116451,-122.449029,37.766297,13,1797
116451,-122.449361,37.765985,14,1842
116451,-122.449499,37.765887,15,1858
116451,-122.449636,37.765842,16,1871
116451,-122.449957,37.765806,17,1900
116451,-122.451401,37.765619,18,2029
116451,-122.452753,37.765449,19,2149
116451,-122.454403,37.765235,20,2296
116451,-122.456753,37.764932,21,2506
116451,-122.457715,37.764816,22,2592
116451,-122.457692,37.764557,23,2621
116451,-122.457818,37.764414,24,2640
116451,-122.458804,37.764369,25,2727
116451,-122.459881,37.764325,26,2822
116451,-122.460947,37.764271,27,2916
116451,-122.462024,37.764226,28,3011
116451,-122.463101,37.764182,29,3106
116451,-122.464167,37.764137,30,3200
116451,-122.465244,37.764083,31,3295
116451,-122.46631,37.764038,32,3389
116451,-122.466172,37.762174,33,3597
116451,-122.467249,37.762129,34,3692
116451,-122.468315,37.762084,35,3786
116451,-122.469381,37.762039,36,3880
116451,-122.470458,37.761994,37,3975
116451,-122.471535,37.761941,38,4070
116451,-122.472658,37.761896,39,4169
116451,-122.473781,37.761842,40,4268
116451,-122.474847,37.761797,41,4362
116451,-122.475912,37.761752,42,4456
116451,-122.477001,37.761699,43,4552
116451,-122.478055,37.761654,44,4645
116451,-122.479132,37.761609,45,4740
116451,-122.480198,37.761564,46,4834
116451,-122.481275,37.761519,47,4929
116451,-122.482341,37.761465,48,5023
116451,-122.483418,37.76142,49,5118
116451,-122.484495,37.761375,50,5213
116451,-122.485561,37.761322,51,5307
116451,-122.486638,37.761277,52,5402
116451,-122.487704,37.761232,53,5496
116451,-122.48877,37.761187,54,5590
116451,-122.489847,37.761133,55,5685
116451,-122.490912,37.761088,56,5779
116451,-122.49199,37.761043,57,5874
116451,-122.493067,37.760998,58,5969
116451,-122.494132,37.760944,59,6063
116451,-122.494682,37.760926,60,6111
116451,-122.49521,37.760899,61,6158
116451,-122.495748,37.760881,62,6205
116451,-122.496275,37.760854,63,6251
116451,-122.497352,37.760809,64,6346
116451,-122.498418,37.760755,65,6440
116451,-122.499495,37.76071,66,6535
116451,-122.500561,37.760665,67,6629
116451,-122.501638,37.76062,68,6724
116451,-122.502704,37.760566,69,6818
116451,-122.503781,37.760521,70,6913
116451,-122.504846,37.760475,71,7007
116451,-122.505924,37.76043,72,7102
116451,-122.506989,37.760376,73,7196
116451,-122.508066,37.760331,74,7291
116451,-122.508135,37.760358,75,7298
116451,-122.508525,37.760349,76,7332
116451,-122.509098,37.760331,77,7382
116451,-122.509178,37.760322,78,7389
116451,-122.509247,37.760286,79,7396
116451,-122.509281,37.760232,80,7403
116451,-122.509292,37.760179,81,7409
116451,-122.509269,37.760116,82,7416
116451,-122.509246,37.76009,83,7420
116451,-122.509212,37.760063,84,7424
116451,-122.509166,37.760045,85,7429
116041,-122.397014,37.795418,1,0
116041,-122.396773,37.795463,2,22
116041,-122.39659,37.79458,3,122
116041,-122.397806,37.794428,4,230
